,Unnamed: 0,faq_id,faq,query,match,score
0,0,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can change contract end date by WBS?,0.0,5.856953430338763e-05
1,1,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,how can I change contract end date by WBS?,0.0,5.856953430338763e-05
2,2,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Is there a way to change the contract end date by WBS?,0.0,5.7731147535378113e-05
3,3,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,How to forecast PoC Contract Loss in MME?,0.0,0.0002279656910104677
4,4,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,how can I forecast PoC Contract Loss?,0.0,0.00012645660899579525
5,5,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Is there a way to forecast PoC contract Loss?,0.0,0.00013014991418458521
6,6,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,When?user can?able to see the Jan14 revenue numbers in MME?,0.0,1.731624433887191e-05
7,7,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,when can a user be able to see the Jan 14 revenue numbers?,0.0,1.456135305488715e-05
8,8,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Will a user be able to see the revenue numbers for Jan14?,0.0,1.456135305488715e-05
9,9,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can download the cost transaction everything report in Local currency?,0.0,3.3256856113439426e-05
10,10,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can I download the cost transaction report in Local currency?,0.0,2.3648406568099745e-05
11,11,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,How do I download the cost transaction report in Local currency?,0.0,2.3648406568099745e-05
12,12,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Best practice on SAP structures for MME success,0.0,5.647226544169826e-07
13,13,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,what are the best practices on sap structures?,0.0,8.504300694767153e-07
14,14,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Enumerate SAP structures' best practices,0.0,5.400103191277594e-07
15,15,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,"I cannot tick on Include Actuals in MME, why?",0.0,8.826763951219618e-05
16,16,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,why can't I tick on Include Actuals?,0.0,4.341142630437389e-05
17,17,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What to do when I can't tick on MME's Include Actuals?,0.0,5.5074771807994694e-05
18,18,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,If changed the owner name of contract in MME then it will that get effect into/anywhere..?,0.0,0.0003012486849911511
19,19,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,what is the effect of changing the owner name of a contract?,0.0,0.0011444614501670003
20,20,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What will happen when I change the owner name of an MME contract?,0.0,0.002782001392915845
21,21,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can you tell me about contract commitment in WMU Dashboard? How can I use it?,0.0,0.03306915611028671
22,22,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,How can I use the contract commitment in WMU Dashboard?,0.0,0.07248107343912125
23,23,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What is a Contract Commitment graph in the WMU Dashboard and how can I use it?,0.0,0.007813159376382828
24,24,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,How can I close a contract?,0.0,0.02392999827861786
25,25,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,is there a way to delete a contract?,0.0,0.014671798795461655
26,26,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,how can I delete a contract?,0.0,0.02610720694065094
27,27,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What are the steps needed for managing the Submission Confirmation email?,0.0,0.004847171250730753
28,28,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can I control which resources will be receiving the Submission Confirmation email?,0.0,0.003974211867898703
29,29,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,"Regarding contracts, how do I end one in MME?",0.0,0.005999328568577766
30,30,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can you terminate a contract in MME?,0.0,0.02612331695854664
31,31,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Are there applications that supports MME for Cost Collectors?,0.0,0.00010487607505638152
32,32,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Once a cost collector has been activated can I use applications that are integrated with MME?,0.0,3.0004472137079574e-05
33,33,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What is the relevance of ODE Version in the graph?,0.0,0.0002973806404042989
34,34,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What are the details for using dashboards?,0.0,5.798677375423722e-05
35,35,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,If I have a View Only access to a contract can I run reports for that contract?,0.0,0.0036475076340138912
36,36,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What type of access needed to run reports for a specific contract?,0.0,0.03720388561487198
37,37,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can you give me details regarding the availability of the revenue amounts? ,0.0,1.4559010423909058e-06
38,38,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,How long will it take to receive the revenue amounts in MME?,0.0,6.8203062255633995e-06
39,39,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can I change the Owner field on a contract WMU?,0.0,0.0007442370988428593
40,40,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I want to change the owner field on a contract.,0.0,0.002536450047045946
41,41,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,How to view resources on the roster page?,0.0,0.3697148263454437
42,42,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Roster page wasn't able to diplay all resources. Why?,0.0,0.03410716727375984
43,43,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What is the link for Contract Loss?,0.0,4.8706308007240295e-05
44,44,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can you provide details for PoC Contract Loss?,0.0,2.0049323211424053e-05
45,45,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What is the use of Include Actuals?,0.0,3.793806172325276e-05
46,46,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,"Checkbox is disabled in Include Actuals, can I have an alternative solution for this matter?",0.0,3.237622513552196e-05
47,47,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can you give me information about deleting contracts,0.0,0.04894997179508209
48,48,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can you tell me the process of deleting a contract,0.0,0.0007768147625029087
49,49,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I need to know how i close a contract in MME with the Strikethrough,0.0,0.017049480229616165
50,50,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I couldn't delete a contract,0.0,0.023204321041703224
51,51,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,can I delete a contract from mme,0.0,0.02612331695854664
52,52,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I need to close / Delete a contract in MME,0.0,0.02003876306116581
53,53,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Is IWEP supported in MME?,0.0,0.0014776487369090319
54,54,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,how do I gain access in MME?,0.0,4.374304262455553e-05
55,55,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,request access for new joiner,0.0,4.586272098094923e-06
56,56,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,need to ask how to close contract in MME,0.0,0.02003876306116581
57,57,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,costs not showing as expected in Cost tab,0.0,1.4621884474763647e-05
58,58,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I am getting a error when trying to put in a forecast,0.0,0.0010860376060009003
59,59,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,"I got an error saying, The forecast submission attempted to update EACs for a closed month. Please resubmit using a forecast version from  the current open forecasting month.""",0.0,0.007140472996979952
60,60,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I would need to have access to MME,0.0,3.1209470762405545e-05
61,61,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I would like support in knowing the procedure to get access to MME of my current project,0.0,0.0012771025067195296
62,62,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I would like access to MME,0.0,3.792540155700408e-05
